업종명,업소명,소재지(도로명),소재지전화
휴게음식점,감동푸드,경기도 하남시 미사대로 750  스타필드 하남 신세계백화점 하남점 지1층 일부호 (신장동),
휴게음식점,미당,경기도 하남시 미사대로 750  스타필드 하남 신세계백화점 지1층 일부호 (신장동),
휴게음식점,킹받네커피 미사역점,경기도 하남시 미사강변동로84번길 21  남송타워 1층 109호 (망월동),
휴게음식점,주식회사 지오에프앤씨,경기도 하남시 미사대로 750  스타필드 하남 신세계백화점 지1층 일부호 (신장동),
휴게음식점,씨유 하남덕산로점,경기도 하남시 덕산로 16  1층 일부호 (덕풍동),
휴게음식점,오팬파이어 스타필드하남점,경기도 하남시 미사대로 750  스타필드 하남 2층 일부호 (신장동),
휴게음식점,메트로푸드타운,경기도 하남시 덕풍서로 지하 50  하남풍산역 지1층 1호 상가호 (덕풍동),
휴게음식점,메가엠지씨커피 감일수자인점,경기도 하남시 감일백제로180번길 30-1  감일수자인 근린생활시설 지1층 112 일부호 (감이동),
휴게음식점,롯데리아 하남감일점,경기도 하남시 감일백제로 175  1층 105  106  107호 (감이동),  02- 471-1003
휴게음식점,지에스25 하남창우중앙점,경기도 하남시 검단산로 130  1층 일부호 (창우동),
휴게음식점,스카폴라,경기도 하남시 미사강변대로 212  미사센트럴프라자 1층 114호 (망월동),
휴게음식점,레벨업피씨방 미사역점,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 2층 2014호 일부호 (망월동),
휴게음식점,씨유 감일케이타워점,경기도 하남시 감일백제로 111  1층 104  105 일부호 (감이동),
휴게음식점,바나프레소 미사역점,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 1층 1075호 (망월동),
휴게음식점,크리스피크림 미사역점,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 1층 1130호 (망월동),
휴게음식점,한홀상회,경기도 하남시 대청로 10  하남시청 지1층 일부호 (신장동),
휴게음식점,민트초코월드,경기도 하남시 미사대로 750  스타필드 하남 지1층 일부호 (신장동), 070-8829-6650
휴게음식점,윤'스키친,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 2층 2089호 (망월동),
휴게음식점,숑,경기도 하남시 미사강변중앙로 180  힐스테이트 미사역 그랑파사쥬(11-1BL) 2층 2016 일부호 (망월동),
휴게음식점,매머드 익스프레스 하남유테크밸리점,경기도 하남시 미사강변중앙로7번안길 25  u-테크밸리 D Tower동 1층 D-104호 (풍산동),
휴게음식점,모루(moru),경기도 하남시 하남대로 821  1층 일부호 (덕풍동),
휴게음식점,하루한방,경기도 하남시 미사대로 550  현대지식산업센터 한강미사 1층 0C01-0097호 (덕풍동),
휴게음식점,닐라(nilla),경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 2층 2003호 (망월동),
휴게음식점,이대분식,경기도 하남시 미사강변동로 125  미사푸르지오시티 A동 2층 A-231호 (망월동),
휴게음식점,윤종희전통떡방,경기도 하남시 미사대로 750  스타필드 하남 신세계백화점 지2층 일부호 (신장동),
휴게음식점,공차 스타필드시티위례점,경기도 하남시 위례대로 200  스타필드시티 위례점 2층 일부호 (학암동),
휴게음식점,요거트월드 감일점,경기도 하남시 감일백제로180번길 17  퀸즈에비뉴 1층 116호 (감이동),
휴게음식점,도깨비호떡,경기도 하남시 미사강변중앙로 180  힐스테이트 미사역 그랑파사쥬(11-1BL) 1층 1019호 (망월동),
휴게음식점,로제멜라(Rosemela),경기도 하남시 감일로105번길 6  1층 (감일동),
휴게음식점,파운드마켓,경기도 하남시 미사대로 750  스타필드 하남 지1층 일부호 (신장동),
휴게음식점,나따오비까 스타필드 하남점,경기도 하남시 미사대로 750  스타필드 하남 지1층 일부호 (신장동),
휴게음식점,지에스25 하남감북중앙점,경기도 하남시 서하남로47번길 186  1층 일부호 (감북동),
휴게음식점,핀타르,경기도 하남시 감일로102번길 27  감일중앙프라자 1층 104호 (감일동),
휴게음식점,빙동댕 미사점,경기도 하남시 미사강변중앙로111번안길 27  1층 일부호 (풍산동),
휴게음식점,비고르카페,경기도 하남시 하남대로855번길 56  1층 일부호 (덕풍동),
휴게음식점,이마트24 미사메디포레점,경기도 하남시 미사강변대로54번길 80  메디포레 1층 101  102 일부호 (풍산동),
휴게음식점,세븐일레븐 미사마이움스타점,경기도 하남시 조정대로 85  마이움트라이스타 1층 106호 (풍산동),
휴게음식점,파머스포케 하남미사점,경기도 하남시 미사강변대로 220  한강트윈프라자1 1층 105호 (망월동),
휴게음식점,요거트 아이스크림의 정석 하남감일점,경기도 하남시 감일백제로 155  감일역 트루엘 1층 108호 (감이동),
휴게음식점,바네쏘요(Banessoyo),경기도 하남시 미사강변중앙로 193  에코브리지 1층 104호 (망월동),
휴게음식점,지에스25 하남감일중앙점,경기도 하남시 감일로102번길 27  감일중앙프라자 1층 107 일부호 (감일동),
휴게음식점,케이(K) 분식,경기도 하남시 미사강변동로84번길 39  에코타워 1층 115호 (망월동),
휴게음식점,아띠몽,경기도 하남시 미사대로 750  스타필드 하남 신세계백화점 하남점 지1층 일부호 (신장동),
휴게음식점,요거트아이스크림의 정석 하남시청점,경기도 하남시 하남대로 747  하남두산위브파크 1층 119호 (신장동),
휴게음식점,요빙빙 하남점,경기도 하남시 미사대로 550  현대지식산업센터 한강미사 1층 0C01-0101호 (덕풍동),
휴게음식점,씨유 하남감초로점,경기도 하남시 감초로52번길 40  1층 (감북동),
휴게음식점,컴포즈커피 미사스마트밸리점,경기도 하남시 미사강변서로 16  하우스디스마트밸리 지1층 알비158호 일부호 (풍산동),
휴게음식점,카페 무음(CAFE MU:EM),경기도 하남시 하남대로 788  보문빌딩 1층 일부호 (신장동),
휴게음식점,올피(allp),경기도 하남시 하남대로761번길 10  2층 일부호 (신장동),
휴게음식점,이디야커피 미사호수공원점,경기도 하남시 미사강변남로 45  골든브릿지 1층 122호 (망월동),
휴게음식점,지에스(GS)25 하남회타운점,경기도 하남시 하남대로 1041  1층 일부호 (풍산동),
휴게음식점,리아프레쉬 샐러드 건강한 브런치,경기도 하남시 미사강변한강로 270-1  미사역 호반 써밋 201동 1층 1-174호 일부호 (망월동),
휴게음식점,더벤티 미사강변스카이폴리스점,경기도 하남시 미사강변한강로 135  미사강변 스카이폴리스 근린생활시설동 1층 가 110호 (망월동),
휴게음식점,달쥬 과일상점 미사점,경기도 하남시 미사강변대로 80  그린프라자 1층 108호 (풍산동),
휴게음식점,지에스(GS)25 미사성산타워점,경기도 하남시 미사강변중앙로204번길 45  성산타워플러스 1층 112 일부호 (망월동),
휴게음식점,지에스(GS)25위례롯데캐슬점,경기도 하남시 위례중앙로 215  1층 8호 일부호 (학암동  위례롯데캐슬),
휴게음식점,지에스(GS)25 하남진도점,경기도 하남시 신평로55번길 8  1층 102 일부호 (신장동  진도로르빌),
휴게음식점,오시오 소금빵,경기도 하남시 미사대로 750  스타필드 하남 2층 일부호 (신장동),
휴게음식점,지에스(GS)25 하남대로점,경기도 하남시 하남대로 790  다인빌딩 1층 일부호 (신장동),
휴게음식점,붕세권,경기도 하남시 신장로189번길 21  1층 일부호 (덕풍동),
휴게음식점,위드디어,경기도 하남시 미사강변한강로342번길 8  1층 일부호 (망월동),
휴게음식점,폴라리엘(POLARIEL),경기도 하남시 미사강변동로84번길 29  미사역 헤리움 애비뉴어 1층 103호 (망월동),
휴게음식점,디어(Dear).슈,경기도 하남시 미사강변동로84번길 29  미사역 헤리움 애비뉴어 2층 205호 (망월동),
휴게음식점,오레시피,경기도 하남시 신장동로29번안길 17  1층 일부호 (신장동),
휴게음식점,키레이 케이크(KIRAY CAKE),경기도 하남시 미사강변중앙로 190  하남미사 롯데캐슬 스타 2층 254호 (망월동),
휴게음식점,야마다라멘 신세계하남,경기도 하남시 미사대로 750  스타필드 하남 신세계백화점 지2층 일부호 (신장동),
휴게음식점,논현동네카페 하남미사점,경기도 하남시 미사강변중앙로 157  리버테라스 1층 107호 (망월동),
휴게음식점,지에스(GS)25  하남한솔점,경기도 하남시 덕산로 38  1층 (덕풍동),
휴게음식점,단이 케이크(Dan e cake),경기도 하남시 미사강변남로 125  미사역마이움푸르지오 101동 1층 109호 (망월동),
휴게음식점,지에스25 감일포웰시티점,경기도 하남시 감일백제로 120  근린생활시설동 지2층 B2-08 일부호 (감이동  힐스테이트 포웰시티),
휴게음식점,얌얌,경기도 하남시 미사강변대로34번안길 11  미사스타프라자 1층 104호 (풍산동),
휴게음식점,뻥튀기,경기도 하남시 아리수로 565  관리동 앞호 (망월동  미사강변도시13단지),
휴게음식점,빽다방 하남망월점,경기도 하남시 미사강변동로 70  더 오페라1 1층 106호 (망월동),
휴게음식점,더 밸런스(The balance),경기도 하남시 미사강변동로 127  1층 103호 (망월동),
휴게음식점,커피 하우스,경기도 하남시 하남대로739번길 80  1층 일부호 (신장동),
휴게음식점,카페 요아정,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 1층 1071호 (망월동),
휴게음식점,찬바이메이(CHANBAIMEI),경기도 하남시 신장로 127-1  1층 일부호 (덕풍동),
휴게음식점,씨유 미사호수공원점,경기도 하남시 미사강변중앙로 120-1  미사강변아란티움 상가동 1층 111 일부호 (풍산동),
휴게음식점,알몬드 로스터리,경기도 하남시 하남대로801번길 7  1층 일부호 (신장동),
휴게음식점,유니푸드,경기도 하남시 아리수로 565  관리동 앞호 (망월동  미사강변도시13단지),
휴게음식점,커피나인 하남미사,경기도 하남시 미사강변서로 22  에코큐브 지식산업센터 1층 115호 (풍산동),
휴게음식점,요거크레페 아가씨,경기도 하남시 미사강변대로226번길 64  라임프라자 1층 106호 (망월동),
휴게음식점,킨더블럭카페,경기도 하남시 신우실로63번길 15  3층 301 일부호 (감일동),
휴게음식점,컴포즈커피 미사하남고점,경기도 하남시 미사강변남로 33  황금프라자 101호 (망월동),
휴게음식점,미미곱도리탕 하남미사점,경기도 하남시 미사강변한강로220번길 51  1층 일부호 (망월동),
휴게음식점,빽다방하남신장동일점,경기도 하남시 대청로59번길 24  더우개마을동일아파트 상가동 1층 102호 (신장동),
휴게음식점,카페 비타민,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 1층 1139호 (망월동),
휴게음식점,국대 돈가스,경기도 하남시 미사강변서로 167  관리동 앞호 (망월동  미사강변도시17단지),
휴게음식점,햇살가득찬,경기도 하남시 미사강변대로54번길 125  상아프라자2 1층 107호 (풍산동),
휴게음식점,(주)피앤에프,경기도 하남시 미사대로 750  신세계백화점 지1층 일부호 (신장동),
휴게음식점,트라페즈(trapeze),경기도 하남시 신장1로 38  1층 (신장동),
휴게음식점,대단한 탕후루 하남감일중앙점,경기도 하남시 감일백제로180번길 17  퀸즈에비뉴 1층 113호 (감이동),
휴게음식점,지에스25 하남덕풍중앙점,경기도 하남시 신장로190번길 6  1층 일부호 (덕풍동),
휴게음식점,지에스25 하남산곡로드점,경기도 하남시 산곡동로 82  1층 일부호 (하산곡동),
휴게음식점,빽다방 하남감일월드점,경기도 하남시 감일백제로 161  월드퍼스티 1층 101호 (감이동),
휴게음식점,씨유 하남수산물시장점,경기도 하남시 하남대로 1043-27  B1동 1층 107 108 일부호 (풍산동),
휴게음식점,베스트 골프존,경기도 하남시 조정대로 35  미사 하우스디 엘타워 지2층 알비201 일부호 (풍산동),
휴게음식점,투빅커피 하남감일점,경기도 하남시 감일백제로180번길 17  퀸즈에비뉴 1층 117호 (감이동),
휴게음식점,스웨터 커피,경기도 하남시 덕풍공원로 8  1층 (덕풍동),
휴게음식점,크라우드PC 하남감이점,경기도 하남시 감일백제로180번길 17  퀸즈에비뉴 8층 822  823  824 일부호 (감이동),
휴게음식점,더벤티 미사역점,경기도 하남시 미사강변동로 81  미사역 큐브앤 타워 1층 105호 (망월동),
휴게음식점,씨유 미사골든프라자점,경기도 하남시 미사강변대로34번길 72  골든프라자 1층 101호 (풍산동),
휴게음식점,봄타로 카페,경기도 하남시 미사강변중앙로 180  힐스테이트 미사역 그랑파사쥬(11-1BL) 1층 1054호 (망월동),
